,fraud_count,legit_count,fraud_ratio,total_count
aker,121,0,121.0,121
subsea,104,0,104.0,104
overviewaker,53,0,53.0,53
onlyclick,42,0,42.0,42
expro,40,0,40.0,40
aecom,35,0,35.0,35
futureaker,27,0,27.0,27
discoveries,54,1,27.0,55
typist,49,1,24.5,50
boutiques,22,0,22.0,22
enovate,22,0,22.0,22
taskability,21,0,21.0,21
proccess,21,0,21.0,21
coppy,21,0,21.0,21
interactiondedicated,21,0,21.0,21
adrian,21,0,21.0,21
westdept,21,0,21.0,21
yearsdescriptionvalidate,21,0,21.0,21
spbu,15,0,15.0,15
mtkz,14,0,14.0,14
pem,14,0,14.0,14
optometric,12,0,12.0,12
egovernment,12,0,12.0,12
fhcp,11,0,11.0,11
winterizations,11,0,11.0,11
nannies,22,1,11.0,23
hes,22,1,11.0,23
rec,21,1,10.5,22
clearmark,10,0,10.0,10
completionflowback,10,0,10.0,10
systemsdrilling,10,0,10.0,10
interventionexpro,10,0,10.0,10
soulutions,10,0,10.0,10
testingsubsea,10,0,10.0,10
bakersfield,20,1,10.0,21
servicesproduction,10,0,10.0,10
upproductionwell,10,0,10.0,10
deepwater,10,0,10.0,10
servicessubsea,10,0,10.0,10
servicesour,10,0,10.0,10
perioperative,19,1,9.5,20
dentists,19,1,9.5,20
payper,9,0,9.0,9
cardweekly,9,0,9.0,9
novation,9,0,9.0,9
sorely,9,0,9.0,9
hoursadvantages,9,0,9.0,9
pacu,9,0,9.0,9
stm,9,0,9.0,9
andbeverage,9,0,9.0,9
yesindustry,8,0,8.0,8
sadara,8,0,8.0,8
manufacturinglocation,8,0,8.0,8
csma,8,0,8.0,8
qhse,8,0,8.0,8
gasoline,8,0,8.0,8
netgear,8,0,8.0,8
ultra,63,7,7.875,70
hrbenefits,7,0,7.0,7
skillfulpreparation,7,0,7.0,7
preventionprinciples,7,0,7.0,7
qualificationshigh,21,2,7.0,23
rejects,21,2,7.0,23
pse,14,1,7.0,15
nvrequirements,7,0,7.0,7
pid,7,0,7.0,7
hse,70,9,7.0,79
monitorfood,7,0,7.0,7
aremaintained,7,0,7.0,7
